pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,lc0,lc1,timestamp
79.2372360229,728.3225708008,-15.2702178955,-15.2230291367,,,,,-27.864397049,,1770496274.08221
79.9070053101,728.0536499023,-14.9390554428,-15.2230291367,,,,,-27.5514640808,,1770496274.092654
79.419883728,727.7846679688,-14.9022607803,-15.7090082169,,,,,-27.8032493591,,1770496274.1052139
79.2981338501,728.3610229492,-15.2334241867,-15.2230291367,,,,,-27.7564907074,,1770496274.11583
79.3590087891,728.2841796875,-14.3503465652,-15.7697677612,,,,,-27.7349071503,,1770496274.126954
79.9070053101,728.2457275391,-14.9390554428,-15.6482725143,,,,,-27.2313327789,,1770496274.137416
79.9070053101,728.0536499023,-15.2702178955,-15.2230291367,,,,,-27.206155777,,1770496274.148903
79.7852325439,728.0151977539,-14.9022607803,-15.3445234299,,,,,-27.432762146,,1770496274.159822
79.9070053101,727.9768066406,-15.5645723343,-14.6763143539,,,,,-27.6809539795,,1770496274.17139
79.7852325439,728.7067871094,-14.8286724091,-15.4052829742,,,,,-27.8428173065,,1770496274.181738
79.9070053101,728.5531005859,-15.2334241867,-15.1622934341,,,,,-27.8823833466,,1770496274.2634099
79.7852325439,729.4752197266,-15.2702178955,-15.58751297,,,,,-27.6234016418,,1770496274.273951
79.2372360229,728.0151977539,-14.7918777466,-15.2230291367,,,,,-27.3860034943,,1770496274.284915
79.9070053101,728.2457275391,-15.5645723343,-15.2230291367,,,,,-27.3176593781,,1770496274.2953112
79.419883728,728.0151977539,-15.6013669968,-15.2230291367,,,,,-27.3788089752,,1770496274.307394
79.9070053101,728.0151977539,-15.307012558,-15.2837877274,,,,,-27.4795246124,,1770496274.318401
79.8461303711,728.3610229492,-14.8286724091,-15.2230291367,,,,,-27.8572044373,,1770496274.329602
79.9070053101,728.4378662109,-14.9390554428,-15.1622934341,,,,,-27.9615154266,,1770496274.339744
79.9070053101,728.0151977539,-14.9390554428,-15.1622934341,,,,,-27.6018199921,,1770496274.3513951
78.9936904907,728.2841796875,-15.2334241867,-15.2230291367,,,,,-27.3931980133,,1770496274.362328
79.7852325439,727.3236083984,-15.6381616592,-15.2230291367,,,,,-27.4039878845,,1770496274.3735838
80.0287780762,728.0151977539,-15.0126438141,-15.2230291367,,,,,-27.4039878845,,1770496274.383905
79.8461303711,728.0151977539,-15.2334241867,-15.2837877274,,,,,-27.8428173065,,1770496274.39584
79.9679031372,728.3610229492,-14.9758491516,-15.2837877274,,,,,-27.7780704498,,1770496274.4070988
79.8461303711,728.2457275391,-15.3438072205,-15.2837877274,,,,,-27.3644218445,,1770496274.417701
79.9070053101,728.2841796875,-15.3806009293,-15.1622934341,,,,,-27.5011062622,,1770496274.428084
79.8461303711,728.0151977539,-14.9758491516,-15.7090082169,,,,,-27.5982246399,,1770496274.4398808
79.9679031372,728.3610229492,-14.9390554428,-15.2837877274,,,,,-27.6054172516,,1770496274.450793
79.9070053101,728.4378662109,-15.3438072205,-14.919303894,,,,,-27.4543476105,,1770496274.467992
79.9679031372,727.7846679688,-14.9390554428,-15.7090082169,,,,,-27.0011291504,,1770496274.478988
79.8461303711,728.0536499023,-15.2702178955,-15.2230291367,,,,,-27.832025528,,1770496274.4900749
79.9070053101,728.0151977539,-14.9390554428,-15.7090082169,,,,,-28.1233768463,,1770496274.500275
79.9679031372,728.0151977539,-14.9390554428,-15.7090082169,,,,,-27.709728241,,1770496274.512778
79.9070053101,728.2841796875,-14.9390554428,-15.1015338898,,,,,-27.5190887451,,1770496274.522976
79.7852325439,727.9768066406,-14.9390554428,-15.7090082169,,,,,-27.2996768951,,1770496274.5344708
79.9070053101,727.9768066406,-15.307012558,-15.1622934341,,,,,-27.4579429626,,1770496274.5444732
79.7852325439,727.8999023438,-15.3438072205,-15.2230291367,,,,,-27.5154933929,,1770496274.55625
80.0287780762,727.9768066406,-15.0126438141,-15.2230291367,,,,,-27.213350296,,1770496274.567341
79.9070053101,728.6683959961,-15.2702178955,-15.2230291367,,,,,-27.4723300934,,1770496274.57786
79.6634292603,728.3225708008,-14.6079063416,-15.7697677612,,,,,-27.1342163086,,1770496274.604855
79.4807815552,728.3610229492,-14.9758491516,-15.7697677612,,,,,-27.4615383148,,1770496274.607029
79.8461303711,728.3225708008,-15.2702178955,-15.3445234299,,,,,-27.8787841797,,1770496274.615093
79.7243270874,728.3225708008,-14.9390554428,-15.3445234299,,,,,-27.5838375092,,1770496274.6246321
78.9936904907,728.5531005859,-14.9758491516,-15.58751297,,,,,-27.1018428802,,1770496274.6326468
79.7243270874,728.1304931641,-15.2702178955,-15.1622934341,,,,,-27.3860034943,,1770496274.6443782
79.9070053101,728.1304931641,-14.9390554428,-15.0407981873,,,,,-27.2744960785,,1770496274.655744
