pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,lc0,lc1,uptime,timestamp
111.14,-2.64,104313.51,-4.65,,-3.26,-7.83,866.93,-0.9760055542,-0.7352447510,1301260,1775935285.984479
111.02,-2.53,104348.12,-4.69,,-3.19,-7.49,867.42,-0.7802982330,-0.7780799866,1301270,1775935285.9851499
111.02,-2.53,104348.12,-4.69,,-3.19,-7.49,867.42,-0.7802982330,-0.7780799866,1301270,1775935286.037262
109.70,-2.11,104313.51,-4.69,,-3.22,-8.18,867.42,-1.0360183716,-0.8066368103,1301280,1775935286.042902
109.70,-2.11,104313.51,-4.69,,-3.22,-8.18,867.42,-1.0360183716,-0.8066368103,1301280,1775935286.0450509
111.14,-2.11,104313.51,-4.57,,-2.84,-7.83,867.05,-0.9300518036,-0.7423858643,1301290,1775935286.047316
111.14,-2.11,104313.51,-4.57,,-2.84,-7.83,867.05,-0.9300518036,-0.7423858643,1301290,1775935286.048779
111.50,-2.15,104348.12,-4.61,,-2.84,-7.91,867.54,-0.7862434387,-0.7673721313,1301300,1775935286.050206
111.50,-2.15,104348.12,-4.61,,-2.84,-7.91,867.54,-0.7862434387,-0.7673721313,1301300,1775935286.051359
111.14,-2.18,104434.68,-4.57,,-2.92,-7.99,867.12,-0.8895053864,-1.1350364685,1301310,1775935286.0524778
111.14,-2.18,104434.68,-4.57,,-2.92,-7.99,867.12,-0.8895053864,-1.1350364685,1301310,1775935286.071476
111.62,-2.26,104313.51,-4.53,,-2.27,-7.95,867.05,-0.8381443024,-0.3961372375,1301320,1775935286.075346
112.83,-2.22,104313.51,-4.61,,-2.80,-7.91,867.18,-0.7824611664,-0.5781822205,1301350,1775935286.076758
112.83,-2.22,104313.51,-4.61,,-2.80,-7.91,867.18,-0.7824611664,-0.5781822205,1301350,1775935286.078444
111.62,-2.49,104408.71,-4.69,,-3.15,-7.91,866.93,-0.7921905518,-0.8673210144,1301360,1775935286.0802681
111.62,-2.49,104408.71,-4.69,,-3.15,-7.91,866.93,-0.7921905518,-0.8673210144,1301360,1775935286.0822778
111.62,-2.03,104348.12,-4.57,,-2.50,-8.22,866.51,-0.7689437866,-0.6388664246,1301370,1775935286.083468
111.62,-2.03,104348.12,-4.57,,-2.50,-8.22,866.51,-0.7689437866,-0.6388664246,1301370,1775935286.084688
111.62,-2.15,104313.51,-4.57,,-2.54,-7.87,866.99,-0.7440757751,-0.3247451782,1301380,1775935286.086012
111.62,-2.15,104313.51,-4.57,,-2.54,-7.87,866.99,-0.7440757751,-0.3247451782,1301380,1775935286.116649
112.59,-2.15,104426.03,-4.34,,-2.88,-7.79,866.99,-0.9970912933,-0.9208641052,1301390,1775935286.122168
109.21,-1.57,104313.51,-4.50,,-2.77,-7.91,866.63,-0.8916683197,-0.3889961243,1301400,1775935286.123932
109.21,-1.57,104313.51,-4.50,,-2.77,-7.91,866.63,-0.8916683197,-0.3889961243,1301400,1775935286.125618
111.62,-2.15,104175.01,-4.61,,-2.92,-7.91,859.26,-0.9900627136,0.1464385986,1301410,1775935286.1268322
111.62,-2.15,104175.01,-4.61,,-2.92,-7.91,859.26,-0.9900627136,0.1464385986,1301410,1775935286.127989
